Restaurant ID,Restaurant Name,City,Locality,Locality Verbose,Cuisines,Cost_for_Two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Primary Cuisine,Cost Category
17284094,Chick-Fil-A,Albany,Albany,"Albany, Albany",Fast Food,10,Dollar($),0,0,0,1,3.5,Yellow,Good,67,Fast Food,Budget
17284409,Guang Zhou Chinese Restaurant,Albany,Albany,"Albany, Albany","Asian, Chinese, Vegetarian",10,Dollar($),0,0,0,1,3.9,Yellow,Good,141,Asian,Budget
17284139,Harvest Moon,Albany,Albany,"Albany, Albany","Pizza, Bar Food, Sandwich",25,Dollar($),0,0,0,2,3.7,Yellow,Good,147,Pizza,Budget
17284403,Henry Campbell'S Steakhouse,Albany,Albany,"Albany, Albany","Steak, Tapas, Bar Food",70,Dollar($),0,0,0,4,3.5,Yellow,Good,51,Steak,Budget
17284145,Hong Kong Cafe,Albany,Albany,"Albany, Albany","Chinese, Seafood, Vegetarian",25,Dollar($),0,0,0,2,3.6,Yellow,Good,88,Chinese,Budget
17284150,House Of China Restaurant Ii,Albany,Albany,"Albany, Albany",Chinese,10,Dollar($),0,0,0,1,3.8,Yellow,Good,153,Chinese,Budget
17284158,Jimmie'S Hot Dogs,Albany,Albany,"Albany, Albany",Unknown,10,Dollar($),0,0,0,1,3.9,Yellow,Good,160,Unknown,Budget
17284175,Locos Grill & Pub,Albany,Albany,"Albany, Albany","American, Burger, Sandwich",25,Dollar($),0,0,0,2,3.5,Yellow,Good,57,American,Budget
17284179,Longhorn Steakhouse,Albany,Albany,"Albany, Albany","American, Steak",25,Dollar($),0,0,0,2,3.5,Yellow,Good,58,American,Budget
17284197,Mikata Japanese Steakhouse,Albany,Albany,"Albany, Albany","Japanese, Steak, Sushi",40,Dollar($),0,0,0,3,3.6,Yellow,Good,115,Japanese,Budget
17284241,Shogun Japanese Steak House,Albany,Albany,"Albany, Albany","Japanese, Steak, Sushi",40,Dollar($),0,0,0,3,3.5,Yellow,Good,51,Japanese,Budget
17284390,The Catch Seafood Room & Oyster Bar,Albany,Albany,"Albany, Albany","Seafood, Tapas, Bar Food",40,Dollar($),0,0,0,3,3.8,Yellow,Good,250,Seafood,Budget
17284279,Villa Gargano,Albany,Albany,"Albany, Albany","Italian, Pizza",10,Dollar($),0,0,0,1,3.7,Yellow,Good,117,Italian,Budget
17284364,3 Squares Diner,Albany,Sylvester,"Sylvester, Albany","American, Breakfast, Diner",10,Dollar($),0,0,0,1,3.4,Orange,Average,20,American,Budget
16611114,Whitebull Hotel,Armidale,Armidale,"Armidale, Armidale","Bar Food, Steak",20,Dollar($),0,0,0,2,3.5,Yellow,Good,25,Bar Food,Budget
17293281,Last Resort Grill,Athens,Athens,"Athens, Athens","American, Southern, Southwestern",40,Dollar($),0,0,0,3,4.5,Dark Green,Excellent,1821,American,Budget
17293301,Mama'S Boy Restaurant,Athens,Athens,"Athens, Athens",Southern,10,Dollar($),0,0,0,1,4.5,Dark Green,Excellent,849,Southern,Budget
17293409,Sr. Sol 1,Athens,Athens,"Athens, Athens",Mexican,10,Dollar($),0,0,0,1,4.6,Dark Green,Excellent,917,Mexican,Budget
17293163,Choo Choo Eastside,Athens,Athens,"Athens, Athens","Japanese, Korean",10,Dollar($),0,0,0,1,3.9,Yellow,Good,439,Japanese,Budget
17293228,The Grill,Athens,Athens,"Athens, Athens","Breakfast, Burger, Sandwich",10,Dollar($),0,0,0,1,3.7,Yellow,Good,289,Breakfast,Budget
17293880,Big City Bread Cafe,Athens,Athens,"Athens, Athens","Breakfast, Sandwich",10,Dollar($),0,0,0,1,4.3,Green,Very Good,558,Breakfast,Budget
17293169,Clocked,Athens,Athens,"Athens, Athens","American, Burger, Sandwich",10,Dollar($),0,0,0,1,4.2,Green,Very Good,613,American,Budget
17293186,Depalma'S Italian Cafe - Downtown,Athens,Athens,"Athens, Athens","American, Italian, Pizza",25,Dollar($),0,0,0,2,4.0,Green,Very Good,353,American,Budget
17293180,Depalma'S Italian Cafe - East Side,Athens,Athens,"Athens, Athens","American, Italian, Pizza",25,Dollar($),0,0,0,2,4.1,Green,Very Good,387,American,Budget
17293205,Five & Ten,Athens,Athens,"Athens, Athens",American,40,Dollar($),0,0,0,3,4.3,Green,Very Good,755,American,Budget
17293229,Grit,Athens,Athens,"Athens, Athens","International, Southern, Vegetarian",10,Dollar($),0,0,0,1,4.2,Green,Very Good,800,International,Budget
17293897,Ike & Jane,Athens,Athens,"Athens, Athens",Sandwich,10,Dollar($),0,0,0,1,4.1,Green,Very Good,350,Sandwich,Budget
17293273,La Dolce Vita Ristorante,Athens,Athens,"Athens, Athens",Italian,40,Dollar($),0,0,0,3,4.1,Green,Very Good,464,Italian,Budget
17293870,Shokitini,Athens,Athens,"Athens, Athens","Asian, Japanese, Sushi",25,Dollar($),0,0,0,2,4.2,Green,Very Good,550,Asian,Budget
17293877,Taqueria Del Sol,Athens,Athens,"Athens, Athens","Mexican, Spanish",10,Dollar($),0,0,0,1,4.1,Green,Very Good,543,Mexican,Budget
17293890,The National,Athens,Athens,"Athens, Athens","International, Southern",40,Dollar($),0,0,0,3,4.1,Green,Very Good,465,International,Budget
17293915,The Royal Peasant,Athens,Athens,"Athens, Athens",Bar Food,10,Dollar($),0,0,0,1,4.4,Green,Very Good,546,Bar Food,Budget
17293422,Transmetropolitan,Athens,Athens,"Athens, Athens","Italian, Pizza, Sandwich",10,Dollar($),0,0,0,1,4.4,Green,Very Good,1098,Italian,Budget
17293873,Trappeze Pub,Athens,Athens,"Athens, Athens","Burger, Bar Food",25,Dollar($),0,0,0,2,4.2,Green,Very Good,579,Burger,Budget
17294014,Viva! Argentine Cuisine,Athens,Athens,"Athens, Athens","Desserts, Latin American, Argentine",10,Dollar($),0,0,0,1,4.1,Green,Very Good,374,Desserts,Budget
17294556,Miyabi Kyoto Japanese Steak House,Augusta,Augusta,"Augusta, Augusta","Chinese, Steak",40,Dollar($),0,0,0,3,4.6,Dark Green,Excellent,717,Chinese,Budget
17294607,Rae'S Coastal Cafe,Augusta,Augusta,"Augusta, Augusta","American, Caribbean, Seafood",40,Dollar($),0,0,0,3,4.9,Dark Green,Excellent,548,American,Budget
17294279,The Bee'S Knees,Augusta,Augusta,"Augusta, Augusta","International, Tapas, Vegetarian",25,Dollar($),0,0,0,2,4.5,Dark Green,Excellent,631,International,Budget
17294300,Boll Weevil Cafe,Augusta,Augusta,"Augusta, Augusta","Desserts, Sandwich, Southern",10,Dollar($),0,0,0,1,3.9,Yellow,Good,372,Desserts,Budget
17295215,Farmhaus Burger,Augusta,Augusta,"Augusta, Augusta","American, Burger",25,Dollar($),0,0,0,2,3.9,Yellow,Good,201,American,Budget
17295028,Manuel'S Bread Cafe,Augusta,Augusta,"Augusta, Augusta","Breakfast, French",40,Dollar($),0,0,0,3,3.8,Yellow,Good,332,Breakfast,Budget
17294642,Sconyers Bar B Que,Augusta,Augusta,"Augusta, Augusta",Bbq,25,Dollar($),0,0,0,2,3.5,Yellow,Good,304,Bbq,Budget
17295109,Frog Hollow Tavern,Augusta,Augusta,"Augusta, Augusta",American,40,Dollar($),0,0,0,3,4.3,Green,Very Good,368,American,Budget
17294441,Giuseppe'S Pizza & Italian Specialities,Augusta,Augusta,"Augusta, Augusta","Desserts, Italian, Pizza",25,Dollar($),0,0,0,2,4.1,Green,Very Good,430,Desserts,Budget
17294552,Mellow Mushroom,Augusta,Augusta,"Augusta, Augusta","Italian, Pizza, Sandwich",25,Dollar($),0,0,0,2,4.4,Green,Very Good,433,Italian,Budget
17294565,Nacho Mamas Burritos,Augusta,Augusta,"Augusta, Augusta",Mexican,10,Dollar($),0,0,0,1,4.0,Green,Very Good,380,Mexican,Budget
17294623,Rhinehart'S Oyster Bar,Augusta,Augusta,"Augusta, Augusta","Bar Food, Sandwich, Seafood",25,Dollar($),0,0,0,2,4.0,Green,Very Good,456,Bar Food,Budget
17294712,Takosushi,Augusta,Augusta,"Augusta, Augusta","Mexican, Southwestern, Sushi",40,Dollar($),0,0,0,3,4.2,Green,Very Good,647,Mexican,Budget
17295033,The Chop House,Augusta,Augusta,"Augusta, Augusta",Steak,40,Dollar($),0,0,0,3,4.0,Green,Very Good,360,Steak,Budget
17295069,The Taj Of India,Augusta,Augusta,"Augusta, Augusta",Indian,25,Dollar($),0,0,0,2,4.0,Green,Very Good,227,Indian,Budget
17294261,Augsburg Haus,Augusta,Evans,"Evans, Augusta",German,25,Dollar($),0,0,0,2,3.9,Yellow,Good,290,German,Budget
17295115,Pho Bac,Augusta,Evans,"Evans, Augusta",Vietnamese,10,Dollar($),0,0,0,1,4.1,Green,Very Good,270,Vietnamese,Budget
17294836,Rhinehart'S Oyster Bar,Augusta,Evans,"Evans, Augusta","Burger, Seafood",25,Dollar($),0,0,0,2,4.0,Green,Very Good,326,Burger,Budget
17294850,Thai Kitchen,Augusta,Evans,"Evans, Augusta",Thai,35,Dollar($),0,0,0,3,4.3,Green,Very Good,317,Thai,Budget
17294883,El Kiosco Mexican Restaurant,Augusta,Grovetown,"Grovetown, Augusta",Mexican,10,Dollar($),0,0,0,1,4.2,Green,Very Good,300,Mexican,Budget
16608864,Taste Of Balingup,Balingup,Balingup,"Balingup, Balingup",Modern Australian,20,Dollar($),0,0,0,2,3.2,Orange,Average,21,Modern Australian,Budget
16604911,Bridge Road Brewers,Beechworth,Beechworth,"Beechworth, Beechworth","Pizza, Bar Food",20,Dollar($),0,0,0,2,4.6,Dark Green,Excellent,237,Pizza,Budget
17303465,Bardenay,Boise,Boise,"Boise, Boise","American, Bar Food",25,Dollar($),0,0,0,2,4.5,Dark Green,Excellent,879,American,Budget
17303642,Flatbread Neapolitan Pizzeria,Boise,Boise,"Boise, Boise","Italian, Pizza",25,Dollar($),0,0,0,2,4.6,Dark Green,Excellent,615,Italian,Budget
